Conference,Year,Paper Title,Paper DOI,Link,IEEE XPLORE Article Number,"Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,Deduped author names,filename,Citations
InfoVis,2008,Evaluating the Use of Data Transformation for Information Visualization,10.1109/TVCG.2008.129,http://dx.doi.org/10.1109/TVCG.2008.129,4658144,T,"Zhen Wen;Zhou, M.X.",37548307800;37399569300,"Zhen Wen;Zhou, M.X.",wen_infovis_08,1532136;1382885;4015421;885092;1249015;146375;4376131
InfoVis,2008,Exploration of Networks using overview+detail with Constraint-based cooperative layout,10.1109/TVCG.2008.130,http://dx.doi.org/10.1109/TVCG.2008.130,4658142,T,"Dwyer, T.;Marriott, K.;Schreiber, F.;Stuckey, P.;Woodward, M.;Wybrow, M.",37326161000;37354163600;37867195800;37372661500;37872168500;37867777700,"Dwyer, T.;Marriott, K.;Schreiber, F.;Stuckey, P.;Woodward, M.;Wybrow, M.",dwyer_infovis_08,1173159;4015419;4015435;1532126;1382909;4015434;1173148;1382906;801854
InfoVis,2008,Geometry-Based Edge Clustering for Graph Visualization,10.1109/TVCG.2008.135,http://dx.doi.org/10.1109/TVCG.2008.135,4658140,T,Weiwei Cui;Hong Zhou;Huamin Qu;Pak Chung Wong;Xiaoming Li,37391623900;37405368200;37272637300;37280665600;37293190400,Weiwei Cui;Hong Zhou;Huamin Qu;Pak Chung Wong;Xiaoming Li,cui_infovis_08,4376143;4376155;1382909;1249008;1532150;1382906;1532138;4015425
InfoVis,2008,"Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation",10.1109/TVCG.2008.137,http://dx.doi.org/10.1109/TVCG.2008.137,4658129,T,"Heer, J.;Mackinlay, J.;Stolte, C.;Agrawala, M.",37550791300;37372036700;37442008700;37282718200,"Heer, J.;Mackinlay, J.;Stolte, C.;Agrawala, M.",heer_infovis_08,885086;398857;809871;1382890;480801;4376133;4388992
InfoVis,2008,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,10.1109/TVCG.2008.138,http://dx.doi.org/10.1109/TVCG.2008.138,4658134,T,"Paulovich, F.V.;Minghim, R.",37590969400;37371567600,"Paulovich, F.V.;Minghim, R.",paulovic_infovis_08,809866;175815;4389002;567787
InfoVis,2008,Improving the Readability of Clustered Social Networks using Node Duplication,10.1109/TVCG.2008.141,http://dx.doi.org/10.1109/TVCG.2008.141,4658145,T,"Henr, N.;Bezerianos, A.;Fekete, J.",;37413699200;37407972900,"Henr, N.;Bezerianos, A.;Fekete, J.",henry_infovis_08,4376154;4015417;4035752;4015416;636792;4015425;1249011
InfoVis,2008,Interactive Visual Analysis of Set-Typed Data,10.1109/TVCG.2008.144,http://dx.doi.org/10.1109/TVCG.2008.144,4658148,T,"Freiler, W.;Matkovic, K.;Hauser, H.",38017008700;38220979200;37274158800,"Freiler, W.;Matkovic, K.;Hauser, H.",freiler_infovis_08,801860;146402;963288;1249016;4389006;1532139;175815
InfoVis,2008,Multi-Focused Geospatial Analysis Using Probes,10.1109/TVCG.2008.149,http://dx.doi.org/10.1109/TVCG.2008.149,4658126,T,"Butkiewicz, T.;Wenwen Dou;Wartell, Z.;Ribarsky, W.;Chang, R.",37591215700;37606064200;37297344900;37300425000;37592409400,"Butkiewicz, T.;Wenwen Dou;Wartell, Z.;Ribarsky, W.;Chang, R.",butkiewi_infovis_08,885102;4376137
InfoVis,2008,On the Visualization of Social and other Scale-Free Networks,10.1109/TVCG.2008.151,http://dx.doi.org/10.1109/TVCG.2008.151,4658141,T,"Yuntao Jia;Hoberock, J.;Garland, M.;Hart, J.C.",37532721900;37869982300;37272036400;37301161800,"Yuntao Jia;Hoberock, J.;Garland, M.;Hart, J.C.",jia_infovis_08,1532819;4015433;1249011
InfoVis,2008,Particle-based labeling: Fast point-feature labeling without obscuring other visual features,10.1109/TVCG.2008.152,http://dx.doi.org/10.1109/TVCG.2008.152,4658135,T,"Luboschik, M.;Schumann, H.;Cords, H.",37869995900;37283240400;37869995100,"Luboschik, M.;Schumann, H.;Cords, H.",luboschi_infovis_08,4015429;4015429;1532856
