Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
VAST,2014,,T,"Alsallakh, B.;Hanbury, A.;Hauser, H.;Miksch, S.;Rauber, A.",;;;;,,"Alsallakh, B.;Hanbury, A.;Hauser, H.;Miksch, S.;Rauber, A.",alsallakh_vast_14,885740;5652398;5332628;6327290;6400486;6634104;6327291;6102448;6102453;6400492;5652443,
VAST,2014,,T,"Maoyuan Sun;North, C.;Ramakrishnan, N.",;;,,"Maoyuan Sun;North, C.;Ramakrishnan, N.",sun2_vast_14,4015425;5290704;1532126;5613440;146402;6064995;4015417;5290706;809866;4035752;1382886;6102449;6634163;4015444;4376154,
VAST,2014,,T,"Koch, S.;John, M.;Worner, M.;Muller, A.;Ertl, T.",;;;;,,"Koch, S.;John, M.;Worner, M.;Muller, A.;Ertl, T.",koch_vast_14,5652926;4658133;6400485;6634115;4376131;6400486;6327290;5290726;6634160;528686;5333248;6327294;4389006;5333919;4389004,
VAST,2014,,T,Conglei Shi;Yingcai Wu;Shixia Liu;Hong Zhou;Huamin Qu,;;;;,,Conglei Shi;Yingcai Wu;Shixia Liu;Hong Zhou;Huamin Qu,shi_vast_14,5652931;5290722;4389008;6327273;559227;6327274;5613451;6327272;6065008;6400494;1532150;4658136,
VAST,2014,,T,"Cong Xie;Wei Chen;Xinxin Huang;Yueqi Hu;Barlowe, S.;Jing Yang",;;;;;,,"Cong Xie;Wei Chen;Xinxin Huang;Yueqi Hu;Barlowe, S.;Jing Yang",xie_vast_14,5290717;4389009;6327274;528685;6400494;5613429;5290708,
VAST,2014,,T,"Guodao Sun;Yingcai Wu;Shixia Liu;Tai-Quan Peng;Zhu, J.J.H.;Ronghua Liang",;;;;;,,"Guodao Sun;Yingcai Wu;Shixia Liu;Tai-Quan Peng;Zhu, J.J.H.;Ronghua Liang",sun1_vast_14,5652931;6327271;4658136;6065008;6327273;6876032;6634134;6634164;6634160,
VAST,2014,,T,Yingcai Wu;Shixia Liu;Kai Yan;Mengchen Liu;Fangzhao Wu,;;;;,,Yingcai Wu;Shixia Liu;Kai Yan;Mengchen Liu;Fangzhao Wu,wu2_vast_14,6065008;6634160;6634134;6875938;1532152;6327271;4035748;5613451;6634164;6875992;5613449;5333919,
VAST,2014,,T,"Jian Zhao;Nan Cao;Zhen Wen;Yale Song;Yu-Ru Lin;Collins, C.",;;;;;,,"Jian Zhao;Nan Cao;Zhen Wen;Yale Song;Yu-Ru Lin;Collins, C.",zhao1_vast_14,6102456;6327271;6400557;6065010;6065008;6327270;6634152;6400485;5652922;5613451;6634134;6634160,
VAST,2014,,T,"Gotz, D.;Stavropoulos, H.",;,,"Gotz, D.;Stavropoulos, H.",gotz_vast_14,6634096;6327272;6065010;885097;5332595;5652890;5290698;4035762;6634100,
VAST,2014,,T,"Isaacs, E.;Damico, K.;Ahern, S.;Bart, E.;Singhal, M.",;;;;,,"Isaacs, E.;Damico, K.;Ahern, S.;Bart, E.;Singhal, M.",isaacs_vast_14,5333443;4677365;4389006;963287;4376132;4035752;4376131,
