1e journée, samedi 07/08/2010
32e journée, dimanche 24/04/2011
Bordeaux, St Etienne, 2-0
Auxerre, Lens, 1-1
Monaco, Rennes, 1-0
Brest, Paris SG, 2-2
Nancy, Arles-Avignon, 0-0
Caen, Toulouse, 1-1
Valenciennes, Sochaux, 1-1
Lorient, Lille, 1-1
Lyon, Montpellier, 3-2
Marseille, Nice, 4-2

33e journée, samedi 30/04/2011
Lille, Arles-Avignon, 5-0
Lens, Lorient, 2-3
Rennes, Bordeaux, 0-0
Sochaux, Nancy, 1-0
Paris SG, Valenciennes, 3-1
Toulouse, Lyon, 2-0
Marseille, Auxerre, 1-1
Montpellier, Brest, 0-0
Nice, Caen, 0-4
St Etienne, Monaco, 1-1

34e journée, samedi 07/05/2011
Monaco, Paris SG, 1-1
Caen, Lens, 1-1
Arles-Avignon, St Etienne, 0-1
Bordeaux, Sochaux, 0-4
Auxerre, Montpellier, 1-0
Lorient, Toulouse, 0-0
Brest, Nice, 0-0
Nancy, Lille, 0-1
Valenciennes, Rennes, 2-0
Lyon, Marseille, 3-2

35e journée, mercredi 11/05/2011
St Etienne, Lille, 1-2
Paris SG, Nancy, 2-2
Lens, Bordeaux, 1-0
Auxerre, Lyon, 4-0
Sochaux, Monaco, 3-0
Nice, Arles-Avignon, 3-2
Montpellier, Lorient, 3-1
Rennes, Caen, 1-1
Toulouse, Valenciennes, 0-0
Marseille, Brest, 3-0

36e journée, dimanche 15/05/2011
Monaco, Lens, 1-1
St Etienne, Rennes, 1-2
Arles-Avignon, Toulouse, 1-0
Caen, Montpellier, 2-0
Nancy, Nice, 3-0
Valenciennes, Auxerre, 1-1
Lorient, Marseille, 2-2
Brest, Lyon, 1-1
Bordeaux, Paris SG, 1-0
Lille, Sochaux, 1-0

37e journée, samedi 21/05/2011
Paris SG, Lille, 2-2
Lens, Arles-Avignon, 0-1
Montpellier, Monaco, 0-1
Marseille, Valenciennes, 2-2
Lyon, Caen, 0-0
Toulouse, Bordeaux, 2-0
Sochaux, St Etienne, 2-1
Rennes, Nancy, 0-2
Nice, Lorient, 2-0
Auxerre, Brest, 0-1

38e journée, dimanche 29/05/2011
Monaco, Lyon, 0-2
St Etienne, Paris SG, 1-1
Lille, Rennes, 3-2
Caen, Marseille, 2-2
Nancy, Lens, 4-0
Bordeaux, Montpellier, 2-0
Arles-Avignon, Sochaux, 1-3
Lorient, Auxerre, 1-2
Brest, Toulouse, 0-2
Valenciennes, Nice, 2-1
